"state","state_total","species","species_total","p"
"Arizona",582640,"Aberts Towhee",23466,0.0403
"Nevada",90901,"Aberts Towhee",416,0.0046
"California",2195708,"Aberts Towhee",3629,0.0017
"California",2195708,"Acorn Woodpecker",16629,0.0076
"Oregon",466881,"Acorn Woodpecker",3510,0.0075
"Arizona",582640,"Acorn Woodpecker",3645,0.0063
"New Mexico",156851,"Acorn Woodpecker",403,0.0026
"Hawaii",53166,"African Silverbill",165,0.0031
"North Dakota",10920,"American Crow",384,0.0352
"Wyoming",11078,"American Crow",272,0.0246
"South Dakota",15062,"American Crow",350,0.0232
"Montana",25244,"American Crow",495,0.0196
"Alaska",8740,"American Crow",156,0.0178
"Utah",194571,"American Crow",2706,0.0139
"Colorado",486631,"American Crow",5812,0.0119
"Washington",686801,"American Crow",7764,0.0113
"Idaho",54716,"American Crow",582,0.0106
"Minnesota",413336,"American Crow",3853,0.0093
"Vermont",59324,"American Crow",547,0.0092
"Maine",134900,"American Crow",1104,0.0082
"Wisconsin",452914,"American Crow",3663,0.0081
"New Hampshire",248851,"American Crow",2006,0.0081
"Iowa",273596,"American Crow",2104,0.0077
"New York",1336435,"American Crow",10208,0.0076
"Oregon",466881,"American Crow",3501,0.0075
"Nebraska",151459,"American Crow",1127,0.0074
"Massachusetts",1069489,"American Crow",7566,0.0071
"Michigan",1006556,"American Crow",7141,0.0071
"Rhode Island",130587,"American Crow",822,0.0063
"Connecticut",577033,"American Crow",3360,0.0058
"Illinois",1120326,"American Crow",6360,0.0057
"New Jersey",1257279,"American Crow",6248,0.005
"Kansas",534827,"American Crow",2560,0.0048
"Ohio",1322484,"American Crow",5978,0.0045
"Delaware",142005,"American Crow",585,0.0041
"Pennsylvania",1941447,"American Crow",7290,0.0038
"Tennessee",975045,"American Crow",3630,0.0037
"Oklahoma",313048,"American Crow",1093,0.0035
"District of Columbia",70055,"American Crow",242,0.0035
"Maryland",1132870,"American Crow",3647,0.0032
"Kentucky",399499,"American Crow",1276,0.0032
"New Mexico",156851,"American Crow",507,0.0032
"Nevada",90901,"American Crow",293,0.0032
"Indiana",849567,"American Crow",2495,0.0029
"Virginia",1776624,"American Crow",4894,0.0028
"Texas",2095781,"American Crow",5397,0.0026
"Louisiana",231343,"American Crow",607,0.0026
"California",2195708,"American Crow",5385,0.0025
"West Virginia",167000,"American Crow",411,0.0025
"Arkansas",293409,"American Crow",652,0.0022
"Missouri",934010,"American Crow",1831,0.002
"Mississippi",136366,"American Crow",226,0.0017
"North Carolina",1909882,"American Crow",2206,0.0012
"Arizona",582640,"American Crow",701,0.0012
"Florida",1055743,"American Crow",1019,0.001
"South Carolina",688623,"American Crow",719,0.001
"South Dakota",15062,"American Crow,House Sparrow",39,0.0026
"North Dakota",10920,"American Crow,House Sparrow",14,0.0013
"Mississippi",136366,"American Goldfinch",8891,0.0652
"West Virginia",167000,"American Goldfinch",9247,0.0554
"Maine",134900,"American Goldfinch",7185,0.0533
"Wisconsin",452914,"American Goldfinch",21082,0.0465
"Minnesota",413336,"American Goldfinch",18633,0.0451
"Vermont",59324,"American Goldfinch",2574,0.0434
"Louisiana",231343,"American Goldfinch",9535,0.0412
"South Dakota",15062,"American Goldfinch",609,0.0404
"Oklahoma",313048,"American Goldfinch",11943,0.0382
"Arkansas",293409,"American Goldfinch",10446,0.0356
"New Hampshire",248851,"American Goldfinch",8668,0.0348
"Michigan",1006556,"American Goldfinch",34826,0.0346
"Indiana",849567,"American Goldfinch",22145,0.0261
"Nebraska",151459,"American Goldfinch",3895,0.0257
"Massachusetts",1069489,"American Goldfinch",27204,0.0254
"Iowa",273596,"American Goldfinch",6777,0.0248
"New York",1336435,"American Goldfinch",29116,0.0218
"Rhode Island",130587,"American Goldfinch",2829,0.0217
"Missouri",934010,"American Goldfinch",19982,0.0214
"Ohio",1322484,"American Goldfinch",26236,0.0198
"Georgia",1299183,"American Goldfinch",25049,0.0193
"Alabama",431100,"American Goldfinch",8272,0.0192
"Kansas",534827,"American Goldfinch",9912,0.0185
"Virginia",1776624,"American Goldfinch",30726,0.0173
"South Carolina",688623,"American Goldfinch",11780,0.0171
"Illinois",1120326,"American Goldfinch",18180,0.0162
"North Carolina",1909882,"American Goldfinch",30417,0.0159
"Texas",2095781,"American Goldfinch",32143,0.0153
"Kentucky",399499,"American Goldfinch",5984,0.015
"Connecticut",577033,"American Goldfinch",8444,0.0146
"Pennsylvania",1941447,"American Goldfinch",26312,0.0136
"Maryland",1132870,"American Goldfinch",15230,0.0134
"Delaware",142005,"American Goldfinch",1634,0.0115
"Tennessee",975045,"American Goldfinch",9043,0.0093
"Wyoming",11078,"American Goldfinch",98,0.0088
"New Jersey",1257279,"American Goldfinch",10353,0.0082
"Florida",1055743,"American Goldfinch",8670,0.0082
"Montana",25244,"American Goldfinch",184,0.0073
"Oregon",466881,"American Goldfinch",3258,0.007
"North Dakota",10920,"American Goldfinch",72,0.0066
"Utah",194571,"American Goldfinch",1163,0.006
"District of Columbia",70055,"American Goldfinch",423,0.006
"Washington",686801,"American Goldfinch",3792,0.0055
"Idaho",54716,"American Goldfinch",301,0.0055
"California",2195708,"American Goldfinch",7194,0.0033
"Colorado",486631,"American Goldfinch",1172,0.0024
"Nevada",90901,"American Goldfinch",166,0.0018
"New Mexico",156851,"American Goldfinch",218,0.0014
"North Dakota",10920,"American Goldfinch,House Sparrow",14,0.0013
"Nebraska",151459,"American Robin",1644,0.0109
"North Carolina",1909882,"American Robin",15982,0.0084
"Nevada",90901,"American Robin",736,0.0081
"Kentucky",399499,"American Robin",2156,0.0054
"Missouri",934010,"American Robin",4910,0.0053
"Kansas",534827,"American Robin",2834,0.0053
"Ohio",1322484,"American Robin",6750,0.0051
"Colorado",486631,"American Robin",2112,0.0043
"Tennessee",975045,"American Robin",3405,0.0035
"Arkansas",293409,"American Robin",1003,0.0034
"Indiana",849567,"American Robin",2553,0.003
"South Carolina",688623,"American Robin",2058,0.003
"Virginia",1776624,"American Robin",4661,0.0026
"Rhode Island",130587,"American Robin",326,0.0025
"Utah",194571,"American Robin",469,0.0024
"Georgia",1299183,"American Robin",3025,0.0023
"Alaska",8740,"American Robin",19,0.0022
"Iowa",273596,"American Robin",574,0.0021
"Illinois",1120326,"American Robin",2291,0.002
"Massachusetts",1069489,"American Robin",2111,0.002
"Oklahoma",313048,"American Robin",565,0.0018
"Michigan",1006556,"American Robin",1613,0.0016
"Wisconsin",452914,"American Robin",735,0.0016
"Oregon",466881,"American Robin",672,0.0014
"Texas",2095781,"American Robin",2504,0.0012
"Pennsylvania",1941447,"American Robin",2034,0.001
"Vermont",59324,"American Tree Sparrow",849,0.0143
"Maine",134900,"American Tree Sparrow",534,0.004
"Michigan",1006556,"American Tree Sparrow",2990,0.003
"Wisconsin",452914,"American Tree Sparrow",1381,0.003
"Minnesota",413336,"American Tree Sparrow",776,0.0019
"New York",1336435,"American Tree Sparrow",2263,0.0017
"Montana",25244,"American Tree Sparrow",44,0.0017
"South Carolina",688623,"Baltimore Oriole",4438,0.0064
"North Carolina",1909882,"Baltimore Oriole",7820,0.0041
"Texas",2095781,"Baltimore Oriole",7330,0.0035
"Kansas",534827,"Baltimore Oriole",1740,0.0033
"Georgia",1299183,"Baltimore Oriole",3976,0.0031
"Florida",1055743,"Baltimore Oriole",3006,0.0028
"Arkansas",293409,"Baltimore Oriole",814,0.0028
"Nebraska",151459,"Baltimore Oriole",371,0.0024
"Louisiana",231343,"Baltimore Oriole",536,0.0023
"Mississippi",136366,"Baltimore Oriole",308,0.0023
"Alabama",431100,"Baltimore Oriole",917,0.0021
"Missouri",934010,"Baltimore Oriole",1754,0.0019
"Virginia",1776624,"Baltimore Oriole",3218,0.0018
"Kentucky",399499,"Baltimore Oriole",729,0.0018
"Tennessee",975045,"Baltimore Oriole",1673,0.0017
"Maine",134900,"Baltimore Oriole",209,0.0015
"Indiana",849567,"Baltimore Oriole",1075,0.0013
"Oklahoma",313048,"Baltimore Oriole",414,0.0013
"Iowa",273596,"Baltimore Oriole",354,0.0013
"New Hampshire",248851,"Baltimore Oriole",322,0.0013
"Wisconsin",452914,"Baltimore Oriole",540,0.0012
"South Dakota",15062,"Baltimore Oriole",18,0.0012
"Ohio",1322484,"Baltimore Oriole",1509,0.0011
"Massachusetts",1069489,"Baltimore Oriole",1228,0.0011
"Michigan",1006556,"Baltimore Oriole",1109,0.0011
"Colorado",486631,"Baltimore Oriole",523,0.0011
"Illinois",1120326,"Baltimore Oriole",1096,0.001
"Vermont",59324,"Baltimore Oriole",58,0.001
"Arizona",582640,"Band-Tailed Pigeon",2705,0.0046
"Nevada",90901,"Band-Tailed Pigeon",394,0.0043
"California",2195708,"Band-Tailed Pigeon",5197,0.0024
"New Mexico",156851,"Band-Tailed Pigeon",174,0.0011
"Montana",25244,"Black Rosy-Finch",142,0.0056
"Utah",194571,"Black Rosy-Finch",772,0.004
"Idaho",54716,"Black Rosy-Finch",149,0.0027
"Colorado",486631,"Black Rosy-Finch",928,0.0019
"Wyoming",11078,"Black Rosy-Finch",19,0.0017
"Wyoming",11078,"Black-Billed Magpie",712,0.0643
"Alaska",8740,"Black-Billed Magpie",202,0.0231
"Idaho",54716,"Black-Billed Magpie",522,0.0095
"Colorado",486631,"Black-Billed Magpie",3605,0.0074
"Washington",686801,"Black-Billed Magpie",4288,0.0062
"Utah",194571,"Black-Billed Magpie",1216,0.0062
"Montana",25244,"Black-Billed Magpie",126,0.005
"Nevada",90901,"Black-Billed Magpie",434,0.0048
"Oregon",466881,"Black-Billed Magpie",1586,0.0034
"New Mexico",156851,"Black-Billed Magpie",451,0.0029
"Alaska",8740,"Black-Capped Chickadee",2227,0.2548
"Vermont",59324,"Black-Capped Chickadee",13641,0.2299
"Maine",134900,"Black-Capped Chickadee",18930,0.1403
"New Hampshire",248851,"Black-Capped Chickadee",25716,0.1033
"Minnesota",413336,"Black-Capped Chickadee",37513,0.0908
"Massachusetts",1069489,"Black-Capped Chickadee",69306,0.0648
"Montana",25244,"Black-Capped Chickadee",1466,0.0581
"Connecticut",577033,"Black-Capped Chickadee",33288,0.0577
"Wisconsin",452914,"Black-Capped Chickadee",25145,0.0555
"New York",1336435,"Black-Capped Chickadee",72922,0.0546
"West Virginia",167000,"Black-Capped Chickadee",7907,0.0473
"North Dakota",10920,"Black-Capped Chickadee",492,0.0451
"Michigan",1006556,"Black-Capped Chickadee",45034,0.0447
"Rhode Island",130587,"Black-Capped Chickadee",5810,0.0445
"Wyoming",11078,"Black-Capped Chickadee",492,0.0444
"Iowa",273596,"Black-Capped Chickadee",10292,0.0376
"South Dakota",15062,"Black-Capped Chickadee",464,0.0308
"Pennsylvania",1941447,"Black-Capped Chickadee",52151,0.0269
"Illinois",1120326,"Black-Capped Chickadee",30024,0.0268
"Missouri",934010,"Black-Capped Chickadee",23502,0.0252
"Kansas",534827,"Black-Capped Chickadee",12916,0.0241
"Washington",686801,"Black-Capped Chickadee",13414,0.0195
"Maryland",1132870,"Black-Capped Chickadee",20124,0.0178
"New Jersey",1257279,"Black-Capped Chickadee",21549,0.0171
"Ohio",1322484,"Black-Capped Chickadee",19536,0.0148
"Idaho",54716,"Black-Capped Chickadee",751,0.0137
"Virginia",1776624,"Black-Capped Chickadee",24146,0.0136
"Nebraska",151459,"Black-Capped Chickadee",1839,0.0121
"Oregon",466881,"Black-Capped Chickadee",5152,0.011
"District of Columbia",70055,"Black-Capped Chickadee",672,0.0096
"Tennessee",975045,"Black-Capped Chickadee",9281,0.0095
"Utah",194571,"Black-Capped Chickadee",1815,0.0093
"Colorado",486631,"Black-Capped Chickadee",4345,0.0089
"Delaware",142005,"Black-Capped Chickadee",774,0.0055
"North Carolina",1909882,"Black-Capped Chickadee",10298,0.0054
"Indiana",849567,"Black-Capped Chickadee",3505,0.0041
"South Carolina",688623,"Black-Capped Chickadee",2041,0.003
"California",2195708,"Black-Headed Grosbeak",13059,0.0059
"Oregon",466881,"Black-Headed Grosbeak",2434,0.0052
"Nevada",90901,"Black-Headed Grosbeak",407,0.0045
"Washington",686801,"Black-Headed Grosbeak",2334,0.0034
"Idaho",54716,"Black-Headed Grosbeak",140,0.0026
"Arizona",582640,"Black-Headed Grosbeak",1136,0.0019
"Utah",194571,"Black-Headed Grosbeak",355,0.0018
"Vermont",59324,"Blue Jay",6327,0.1067
"Maine",134900,"Blue Jay",14350,0.1064
"Massachusetts",1069489,"Blue Jay",77266,0.0722
"New York",1336435,"Blue Jay",94951,0.071
"South Dakota",15062,"Blue Jay",1066,0.0708
"North Dakota",10920,"Blue Jay",765,0.0701
"Florida",1055743,"Blue Jay",67778,0.0642
"New Hampshire",248851,"Blue Jay",14223,0.0572
"New Jersey",1257279,"Blue Jay",65360,0.052
"Michigan",1006556,"Blue Jay",46535,0.0462
"Rhode Island",130587,"Blue Jay",5625,0.0431
"Connecticut",577033,"Blue Jay",22067,0.0382
"Minnesota",413336,"Blue Jay",15373,0.0372
"Kansas",534827,"Blue Jay",17984,0.0336
"Nebraska",151459,"Blue Jay",5042,0.0333
"Virginia",1776624,"Blue Jay",58727,0.0331
"West Virginia",167000,"Blue Jay",5266,0.0315
"Iowa",273596,"Blue Jay",8082,0.0295
"Kentucky",399499,"Blue Jay",10710,0.0268
"Tennessee",975045,"Blue Jay",25476,0.0261
"Pennsylvania",1941447,"Blue Jay",50187,0.0259
"Ohio",1322484,"Blue Jay",32381,0.0245
"Texas",2095781,"Blue Jay",50980,0.0243
"Indiana",849567,"Blue Jay",20544,0.0242
"Oklahoma",313048,"Blue Jay",7475,0.0239
"Maryland",1132870,"Blue Jay",25709,0.0227
"Wisconsin",452914,"Blue Jay",10181,0.0225
"Louisiana",231343,"Blue Jay",4943,0.0214
"District of Columbia",70055,"Blue Jay",1360,0.0194
"North Carolina",1909882,"Blue Jay",36824,0.0193
"South Carolina",688623,"Blue Jay",12412,0.018
"Missouri",934010,"Blue Jay",16486,0.0177
"Georgia",1299183,"Blue Jay",22918,0.0176
"Delaware",142005,"Blue Jay",2496,0.0176
"Mississippi",136366,"Blue Jay",2320,0.017
"Arkansas",293409,"Blue Jay",4947,0.0169
"Alabama",431100,"Blue Jay",5759,0.0134
"Colorado",486631,"Blue Jay",5485,0.0113
"Illinois",1120326,"Blue Jay",10477,0.0094
"Montana",25244,"Blue Jay",110,0.0044
"Wyoming",11078,"Blue Jay",32,0.0029
"Alaska",8740,"Bohemian Waxwing",14,0.0016
"Alaska",8740,"Boreal Chickadee",70,0.008
"Vermont",59324,"Boreal Chickadee",73,0.0012
"Wyoming",11078,"Brewers Blackbird",43,0.0039
"Utah",194571,"Brewers Blackbird",649,0.0033
"South Dakota",15062,"Brewers Blackbird",41,0.0027
"Montana",25244,"Brewers Blackbird",61,0.0024
"Idaho",54716,"Brewers Blackbird",128,0.0023
"Colorado",486631,"Brewers Blackbird",956,0.002
"Texas",2095781,"Brewers Blackbird",3292,0.0016
"Delaware",142005,"Brewers Blackbird",225,0.0016
"Oregon",466881,"Brewers Blackbird",704,0.0015
"Oklahoma",313048,"Brewers Blackbird",471,0.0015
"New Mexico",156851,"Brewers Blackbird",238,0.0015
"Nevada",90901,"Brewers Blackbird",124,0.0014
"Washington",686801,"Brewers Blackbird",877,0.0013
"Arizona",582640,"Brewers Blackbird",695,0.0012
"Kansas",534827,"Brewers Blackbird",662,0.0012
"Arkansas",293409,"Brewers Blackbird",311,0.0011
"Louisiana",231343,"Brewers Blackbird",251,0.0011
"Nebraska",151459,"Brewers Blackbird",174,0.0011
"Arizona",582640,"Bronzed Cowbird",1040,0.0018
"Texas",2095781,"Bronzed Cowbird",3582,0.0017
"Louisiana",231343,"Bronzed Cowbird",347,0.0015
"Mississippi",136366,"Bronzed Cowbird",184,0.0013
"North Carolina",1909882,"Brown Thrasher",8530,0.0045
"Florida",1055743,"Brown Thrasher",4363,0.0041
"Alabama",431100,"Brown Thrasher",1765,0.0041
"Georgia",1299183,"Brown Thrasher",4877,0.0038
"South Carolina",688623,"Brown Thrasher",1286,0.0019
"Mississippi",136366,"Brown Thrasher",145,0.0011
"Virginia",1776624,"Brown Thrasher",1697,0.001
"Colorado",486631,"Brown-Capped Rosy-Finch",39945,0.0821
"New Mexico",156851,"Brown-Capped Rosy-Finch",3893,0.0248
"Wyoming",11078,"Brown-Capped Rosy-Finch",232,0.0209
"Utah",194571,"Brown-Capped Rosy-Finch",1898,0.0098
"Colorado",486631,"Brown-Capped Rosy-Finch,House Finch",559,0.0011
"Wyoming",11078,"Brown-Capped Rosy-Finch,House Sparrow",25,0.0023
"Louisiana",231343,"Brown-Headed Cowbird",9005,0.0389
